# messageDelay  cumulativeProbability
88.7000 0.0125
99.2000 0.0250
102.4000 0.0375
110.7000 0.0500
114.0000 0.0625
114.4000 0.0750
117.3000 0.0875
117.8000 0.1000
122.2000 0.1125
122.9000 0.1250
125.6000 0.1375
127.6000 0.1500
137.6000 0.1625
137.7000 0.1750
139.1000 0.1875
139.8000 0.2000
142.8000 0.2125
143.7000 0.2250
156.0000 0.2375
157.4000 0.2500
173.7000 0.2625
173.9000 0.2750
175.9000 0.2875
178.2000 0.3000
179.0000 0.3125
186.6000 0.3250
186.8000 0.3375
199.4000 0.3500
200.9000 0.3625
202.6000 0.3750
205.1000 0.3875
205.3000 0.4000
206.4000 0.4125
211.5000 0.4250
215.5000 0.4375
216.6000 0.4500
217.4000 0.4625
218.8000 0.4750
223.9000 0.4875
226.5000 0.5000
232.3000 0.5125
236.1000 0.5250
238.0000 0.5375
238.9000 0.5500
248.2000 0.5625
249.4000 0.5750
315.1000 0.5875
320.2000 0.6000
323.1000 0.6125
326.8000 0.6250
337.7000 0.6375
340.7000 0.6500
342.9000 0.6625
347.3000 0.6750
356.2000 0.6875
372.1000 0.7000
377.7000 0.7125
381.4000 0.7250
382.3000 0.7375
386.6000 0.7500
391.2000 0.7625
394.2000 0.7750
400.7000 0.7875
401.0000 0.8000
408.0000 0.8125
411.6000 0.8250
416.9000 0.8375
424.2000 0.8500
448.4000 0.8625
460.2000 0.8750
461.4000 0.8875
461.5000 0.9000
469.7000 0.9125
470.8000 0.9250
482.7000 0.9375
489.3000 0.9500
489.8000 0.9625
509.0000 0.9750
511.3000 0.9875
551.5000 1.0000
