# messageDelay  cumulativeProbability
88.6000 0.0250
114.1000 0.0500
120.7000 0.0750
121.2000 0.1000
126.3000 0.1250
128.2000 0.1500
130.6000 0.1750
135.1000 0.2000
135.2000 0.2250
138.5000 0.2500
139.4000 0.2750
170.4000 0.3000
177.7000 0.3250
190.9000 0.3500
191.2000 0.3750
192.0000 0.4000
198.7000 0.4250
201.7000 0.4500
202.5000 0.4750
206.2000 0.5000
213.1000 0.5250
213.5000 0.5500
214.8000 0.5750
223.4000 0.6000
226.2000 0.6250
237.1000 0.6500
238.7000 0.6750
248.3000 0.7000
262.0000 0.7250
265.4000 0.7500
272.3000 0.7750
375.0000 0.8000
394.1000 0.8250
395.6000 0.8500
408.6000 0.8750
408.8000 0.9000
443.3000 0.9250
446.2000 0.9500
479.9000 0.9750
519.2000 1.0000
