# time  created  delivered  delivered/created
0.0000 1 0 0.0000
0.0000 2 0 0.0000
0.0000 3 0 0.0000
0.0000 4 0 0.0000
0.0000 5 0 0.0000
0.0000 6 0 0.0000
0.0000 7 0 0.0000
0.0000 8 0 0.0000
0.0000 9 0 0.0000
0.0000 10 0 0.0000
0.0000 11 0 0.0000
0.0000 12 0 0.0000
0.0000 13 0 0.0000
0.0000 14 0 0.0000
0.0000 15 0 0.0000
0.0000 16 0 0.0000
0.0000 17 0 0.0000
0.0000 18 0 0.0000
0.0000 19 0 0.0000
0.0000 20 0 0.0000
118.6000 20 1 0.0500
120.1000 20 2 0.1000
124.7000 20 3 0.1500
134.3000 20 4 0.2000
142.1000 20 5 0.2500
176.1000 20 6 0.3000
200.7000 20 7 0.3500
226.3000 20 8 0.4000
226.4000 20 9 0.4500
237.6000 20 10 0.5000
242.1000 20 11 0.5500
251.8000 20 12 0.6000
265.5000 20 13 0.6500
305.3000 20 14 0.7000
312.3000 20 15 0.7500
315.8000 20 16 0.8000
408.5000 20 17 0.8500
409.5000 20 18 0.9000
423.2000 20 19 0.9500
439.2000 20 20 1.0000
