# messageDelay  cumulativeProbability
89.1000 0.0167
99.1000 0.0333
103.8000 0.0500
106.4000 0.0667
116.9000 0.0833
117.7000 0.1000
119.6000 0.1167
125.7000 0.1333
126.1000 0.1500
127.5000 0.1667
131.3000 0.1833
132.8000 0.2000
133.9000 0.2167
134.6000 0.2333
141.2000 0.2500
144.1000 0.2667
148.6000 0.2833
153.9000 0.3000
163.9000 0.3167
166.5000 0.3333
173.2000 0.3500
174.6000 0.3667
183.3000 0.3833
192.7000 0.4000
193.7000 0.4167
194.8000 0.4333
196.6000 0.4500
204.4000 0.4667
207.3000 0.4833
210.6000 0.5000
216.1000 0.5167
224.9000 0.5333
228.9000 0.5500
229.7000 0.5667
239.0000 0.5833
242.0000 0.6000
243.1000 0.6167
257.6000 0.6333
369.5000 0.6500
373.0000 0.6667
374.0000 0.6833
380.1000 0.7000
385.4000 0.7167
388.8000 0.7333
396.4000 0.7500
400.3000 0.7667
400.8000 0.7833
404.8000 0.8000
405.2000 0.8167
424.2000 0.8333
425.0000 0.8500
426.7000 0.8667
430.5000 0.8833
440.3000 0.9000
473.9000 0.9167
476.1000 0.9333
479.3000 0.9500
508.3000 0.9667
513.4000 0.9833
568.5000 1.0000
